order_item_id,order_id,product_id,quantity,total_price
1,1,195,1,798.01
2,1,153,2,1193.04
3,1,17,3,2113.38
4,1,432,1,666.26
5,1,87,2,833.12
6,2,232,2,1929.12
7,2,471,3,1162.86
8,2,72,1,978.23
9,2,245,2,1647.16
10,3,300,1,553.2
11,4,37,2,209.96
12,5,314,2,1677.26
13,6,478,1,531.97
14,6,284,2,42.9
15,7,321,3,2577.75
16,7,392,2,1105.74
17,7,212,2,1489.82
18,8,148,2,859.84
19,8,157,3,2369.85
20,8,469,3,299.67
21,9,114,1,236.62
22,9,91,3,183.6
23,9,400,2,471.8
24,9,102,1,44.08
25,10,255,1,405.58
26,10,262,3,2647.08
27,10,293,2,1772.46
28,11,407,3,1404.42
29,11,455,2,597.94
30,11,335,3,1813.95
31,11,346,2,1401.72
32,12,51,2,75.16
33,12,425,2,1763.92
34,12,495,1,872.91
35,12,121,2,1453.7
36,12,443,2,1120.06
37,13,227,3,2117.19
38,13,131,3,701.61
39,13,245,3,2470.74
40,13,89,3,1261.83
41,13,428,3,1285.41
42,14,392,3,1658.61
43,14,39,2,221.38
44,14,255,1,405.58
45,15,342,1,747.58
46,15,182,3,2275.83
47,15,224,3,2373.72
48,16,129,2,799.06
49,16,69,2,431.96
50,16,449,2,1295.2
51,16,201,1,807.63
52,16,77,2,1228.56
53,17,430,2,441.2
54,18,345,3,2034.12
55,18,493,3,2470.77
56,18,195,1,798.01
57,19,428,3,1285.41
58,19,240,3,1160.85
59,19,259,2,1713.46
60,19,471,2,775.24
61,19,284,3,64.35
62,20,256,1,491.56
63,20,436,2,1526.46
64,21,211,1,625.71
65,22,418,2,1183.6
66,22,256,2,983.12
67,22,105,2,1757.08
68,22,336,1,372.58
69,23,348,2,726.94
70,23,479,1,648.62
71,23,91,3,183.6
72,24,54,1,923.42
73,24,259,2,1713.46
74,24,133,1,486.76
75,24,48,3,1793.34
76,25,18,3,434.88
77,25,293,2,1772.46
78,25,273,2,782.64
79,26,50,2,559.0
80,26,258,3,1606.05
81,26,304,2,1247.82
82,26,124,3,552.36
83,27,118,2,1291.64
84,27,465,3,1234.86
85,27,313,3,1505.28
86,28,190,2,482.14
87,28,144,3,1050.3
88,28,57,2,1168.78
89,29,340,2,405.14
90,29,8,2,976.0
91,29,241,1,527.89
92,30,259,1,856.73
93,30,52,2,591.94
94,30,117,3,802.41
95,30,489,3,2570.04
96,31,460,1,193.37
97,31,294,2,404.52
98,32,117,1,267.47
99,32,155,2,1001.44
100,32,205,3,1913.46
101,32,473,1,282.79
102,32,109,1,925.61
103,33,418,3,1775.4
104,33,138,2,881.14
105,34,214,3,1236.93
106,34,13,2,1322.32
107,34,346,2,1401.72
108,34,150,2,1307.62
109,34,217,2,855.34
110,35,300,2,1106.4
111,35,483,1,985.1
112,35,369,2,506.2
113,35,468,3,1542.84
114,35,118,3,1937.46
115,36,177,2,901.68
116,36,369,3,759.3
117,36,321,1,859.25
118,36,20,1,610.53
119,36,197,3,2116.47
120,37,408,2,1957.02
121,37,284,3,64.35
122,37,119,3,425.55
123,37,150,1,653.81
124,37,323,3,1140.69
125,38,276,1,41.37
126,39,147,2,1467.18
127,39,104,1,237.88
128,39,439,1,214.48
129,39,451,2,123.76
130,39,359,2,44.02
131,40,168,3,978.54
132,40,448,3,1497.0
133,41,148,2,859.84
134,41,231,3,1319.76
135,41,288,3,2566.95
136,42,448,2,998.0
137,42,102,3,132.24
138,42,489,2,1713.36
139,43,189,1,724.74
140,43,1,2,371.86
141,43,338,2,1230.94
142,44,40,3,624.21
143,44,442,1,810.4
144,45,357,3,927.27
145,45,148,2,859.84
146,45,191,1,353.43
147,45,6,1,844.15
148,45,446,3,2271.69
149,46,106,3,2521.86
150,46,484,3,891.66
151,46,144,3,1050.3
152,46,472,2,616.2
153,46,344,3,1425.21
154,47,76,1,745.79
155,47,183,2,1109.76
156,47,350,2,1092.06
157,48,175,3,2073.24
158,48,307,1,48.27
159,48,271,1,106.12
160,48,292,1,856.25
161,49,239,1,328.22
162,50,393,2,1203.08
163,51,177,3,1352.52
164,51,415,1,304.46
165,51,380,2,1683.02
166,51,219,2,1867.52
167,51,60,2,1597.82
168,52,478,3,1595.91
169,52,310,2,1085.06
170,53,407,2,936.28
171,54,434,3,2887.68
172,54,414,3,2647.38
173,54,9,2,1951.06
174,54,164,1,130.02
175,54,489,2,1713.36
176,55,415,2,608.92
177,55,172,1,917.94
178,55,266,1,779.16
179,56,203,3,816.78
180,56,134,2,1750.0
181,56,192,3,1557.36
182,56,236,1,875.6
183,57,176,2,705.14
184,57,362,3,1124.85
185,57,461,1,705.09
186,57,495,2,1745.82
187,57,354,3,354.72
188,58,302,1,614.33
189,59,412,1,36.3
190,59,94,1,65.05
191,60,169,1,403.05
192,61,107,3,258.09
193,61,101,3,2438.94
194,62,295,2,1008.26
195,63,86,2,519.0
196,63,211,3,1877.13
197,63,401,2,1049.46
198,64,126,2,1819.68
199,64,125,1,120.23
200,65,87,1,416.56
201,65,380,3,2524.53
202,65,252,2,500.3
203,65,460,3,580.11
204,65,474,1,502.31
205,66,393,2,1203.08
206,66,217,3,1283.01
207,66,258,2,1070.7
208,66,352,1,344.99
209,66,13,2,1322.32
210,67,323,3,1140.69
211,67,268,3,1223.37
212,67,431,3,726.21
213,68,444,2,538.88
214,68,75,1,718.24
215,69,270,2,939.52
216,69,213,2,1427.42
217,69,405,1,520.37
218,70,54,3,2770.26
219,70,303,3,443.7
220,71,52,1,295.97
221,71,208,3,2682.75
222,71,240,3,1160.85
223,72,219,1,933.76
224,72,290,3,147.54
225,72,472,2,616.2
226,72,317,3,1240.41
227,73,461,2,1410.18
228,73,468,3,1542.84
229,73,475,3,1179.39
230,74,282,2,1890.66
231,74,41,1,99.52
232,75,251,1,194.56
233,75,163,1,205.55
234,75,490,1,791.28
235,75,34,2,1969.12
236,76,290,1,49.18
237,76,350,2,1092.06
238,77,487,1,155.88
239,77,455,3,896.91
240,78,414,3,2647.38
241,79,456,2,568.84
242,80,334,2,1270.0
243,80,344,1,475.07
244,81,99,3,759.72
245,81,26,2,968.48
246,81,167,3,865.47
247,81,498,2,393.74
248,81,192,2,1038.24
249,82,89,1,420.61
250,83,390,3,2717.46
251,83,234,1,309.91
252,83,4,2,1321.2
253,83,7,1,431.47
254,83,477,1,40.19
255,84,141,3,1571.97
256,84,226,1,313.66
257,84,110,3,1738.44
258,84,157,3,2369.85
259,84,380,2,1683.02
260,85,260,2,602.78
261,85,316,3,1987.92
262,85,195,2,1596.02
263,85,82,1,784.65
264,86,491,3,949.38
265,86,229,3,2035.02
266,87,438,2,645.28
267,87,412,2,72.6
268,87,108,1,602.8
269,87,367,2,740.16
270,87,274,2,430.68
271,88,237,2,221.06
272,88,437,1,715.47
273,88,462,2,49.9
274,89,340,3,607.71
275,89,206,2,1110.34
276,89,55,3,1748.88
277,89,168,3,978.54
278,89,438,2,645.28
279,90,395,1,488.56
280,90,483,2,1970.2
281,91,456,2,568.84
282,91,298,2,261.38
283,91,437,1,715.47
284,91,406,3,2805.24
285,91,368,1,492.62
286,92,457,2,690.5
287,92,183,1,554.88
288,93,127,3,316.62
289,93,103,1,390.76
290,93,232,3,2893.68
291,93,433,1,339.62
292,94,206,3,1665.51
293,94,126,2,1819.68
294,94,389,2,729.32
295,94,454,1,591.95
296,95,262,1,882.36
297,96,412,3,108.9
298,96,404,1,185.81
299,96,444,1,269.44
300,96,252,2,500.3
301,96,257,3,2452.62
302,97,219,2,1867.52
303,97,108,2,1205.6
304,97,192,3,1557.36
305,97,87,1,416.56
306,97,19,3,1423.68
307,98,151,2,596.36
308,98,445,2,1115.02
309,98,435,2,1742.48
310,98,132,2,1316.36
311,99,407,2,936.28
312,100,155,3,1502.16
313,100,144,1,350.1
314,100,104,3,713.64
315,100,486,1,635.22
316,100,248,1,689.58
317,101,111,2,1660.12
318,101,92,1,76.73
319,102,121,2,1453.7
320,102,362,2,749.9
321,102,359,1,22.01
322,102,221,3,2990.01
323,103,291,1,365.8
324,104,65,1,508.94
325,104,437,1,715.47
326,105,462,3,74.85
327,105,456,2,568.84
328,106,201,3,2422.89
329,106,301,3,894.93
330,106,115,2,1448.02
331,107,97,1,943.38
332,108,450,2,1622.7
333,109,376,2,1596.0
334,109,395,1,488.56
335,109,81,1,540.55
336,109,379,3,1598.94
337,110,9,2,1951.06
338,110,374,2,1538.44
339,110,44,1,318.35
340,111,495,3,2618.73
341,111,43,3,2013.69
342,111,357,3,927.27
343,112,287,1,670.5
344,112,133,3,1460.28
345,112,41,3,298.56
346,112,314,2,1677.26
347,112,412,3,108.9
348,113,351,2,1436.54
349,113,367,2,740.16
350,113,336,2,745.16
351,114,35,1,950.66
352,114,126,3,2729.52
353,114,261,3,188.25
354,114,273,3,1173.96
355,115,137,2,140.64
356,115,220,2,74.44
357,115,464,3,2990.82
358,116,47,2,1855.42
359,116,194,3,1007.07
360,116,114,1,236.62
361,117,75,2,1436.48
362,117,348,3,1090.41
363,117,180,1,657.34
364,118,456,2,568.84
365,118,259,3,2570.19
366,118,214,3,1236.93
367,118,252,1,250.15
368,118,146,3,2873.37
369,119,113,3,2946.12
370,119,22,2,427.5
371,119,284,2,42.9
372,119,226,1,313.66
373,119,381,1,678.99
374,120,326,3,2740.95
375,120,46,1,469.09
376,121,318,1,604.73
377,121,69,1,215.98
378,122,435,2,1742.48
379,123,33,2,1863.98
